,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,pub_rec,revol_bal,revol_util,annual_inc_joint,dti_joint,verification_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mort_acc,pub_rec_bankruptcies,revol_bal_joint,inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,fico_avg_score,sec_cibil_score,credit_hist,sec_credit_hist,balance_annual_inc,sec_balance_annual_inc,inst_amnt_ratio,credit_line_ratio
459321,1,10.91,6,26,10,4,11.22525673,1,0,2,38.24,0,9.832689481,59.5,11.78296024,25.23,1,0,5,1,2,12,12.16162952,67,2,2,8.636929873,64,0,1,1,1,0,10.77814346,0,1,6,49.3,3,9,717,612,5054,7489,0.16,0.091603053,0.032696667,0.323529412
459376,1,30.75,2,5,10,4,11.3504183,1,1,2,16.07,1,8.909640602,31.4,11.48761791,14.31,1,4,3,2,2,2,10.52390274,99,3,3,8.421342866,73,2,1,7,3,0,9.94458151,1,0,6,31.5,1,7,697,577,4689,2254,0.401470588,0.35,0.04286359,0.769230769
459384,1,16.02,5,20,10,4,11.01864554,1,0,2,7.63,1,8.386172929,31.3,11.66993776,3.98,1,1,1,1,1,9,8.725669706,77,2,2,7.575584652,48,0,2,1,1,1,9.263312257,0,1,3,88.5,0,3,692,657,8189,5451,0.10204918,0.053205128,0.035167871,0.636363636
459431,2,19.42,4,17,0.5,4,0,0,0,2,32.26145366,0,8.768885326,50.2,11.51293546,9,0,0,0,1,1,8,9.494165014,81,1,1,8.586905804,67,0,0,2,0,0,9.19998696,2,0,8,58.2,0,7,717,667,3045,5329,0,0.144,0.026172222,0.714285714
459617,2,20.39,4,16,1,3,11.40757606,0,1,1,43.11,0,10.93085443,94.1,12.02201759,32.96,0,0,5,1,3,8,11.44412186,44,0,2,9.493411832,67,2,1,11,2,0,11.46517326,1,2,18,75.1,4,22,682,672,8738,8677,0.266666667,0.144250708,0.026711667,0.5
459618,2,17.47,4,19,8,4,10.28878397,1,1,1,63.39,1,9.687753979,38.8,11.03005542,36.56,1,1,2,0,3,13,10.25488359,68,1,4,8.665440768,53,5,0,2,0,1,10.3656795,0,0,16,52.4,1,20,722,692,6881,6515,0.816326531,0.38897893,0.02510625,0.833333333
459641,1,20.39,4,16,4,4,10.46313191,2,0,2,32.56,0,9.120743838,50.2,11.28979441,28.99,2,1,2,2,2,4,9.734417801,84,0,3,8.126813721,68,1,0,3,1,0,10.5736987,0,2,14,44.1,2,15,697,672,6759,7428,0.857142857,0.375,0.037362667,0.391304348
459662,2,24.85,3,12,2,4,10.4733648,2,0,2,33.64,0,9.729015111,49.3,11.11210456,22.06,2,0,2,0,0,26,9.138736953,46,1,2,8.142354277,48,1,1,1,2,0,10.26879017,2,2,12,47.4,2,12,712,667,3593,3837,0.84841629,0.447921644,0.029263667,0.857142857
459776,2,21.85,4,15,5,5,9.210440367,0,1,2,107.44,0,10.20236918,65.6,11.78296024,36.55,0,0,0,0,0,55,0,71.16996114,2,2,8.986696696,66,0,0,1,0,0,11.24756572,0,3,11,94,5,4,702,652,14398,5054,1.7,0.129770992,0.027534118,0.6
459849,2,11.98,6,25,3,4,10.91510665,0,0,2,32.4,0,9.844109029,38.9,10.91510665,32.95,0,1,2,0,3,17,11.61872588,71.16996114,1,2,9.249176396,39,2,2,0,0,0,9.868326587,0,0,2,43.5,0,6,742,632,4445,3502,0.327272727,0.327272727,0.022234444,0.24
459861,1,9.43,6,29,10,4,10.66897865,0,0,6,62.66,0,9.322239464,28.7,11.50288523,27.21,0,2,4,4,4,6,11.19617154,77,1,2,7.80832305,55,1,3,9,1,0,10.46507283,0,1,8,9.4,2,19,697,697,7793,5755,0.11627907,0.050505051,0.032002,0.367346939
459885,1,21.85,4,15,0.5,4,10.2399955,1,1,2,31.98,1,8.303257121,55.3,10.64544871,28.63,1,1,2,1,2,3,10.3052458,87,0,1,7.295056416,81,4,0,8,0,1,9.161465204,1,0,6,62.5,2,6,667,677,3471,3653,0.285714286,0.19047619,0.03811375,0.625
459910,2,10.9,6,26,10,4,11.44036552,2,0,2,25.04,0,9.313618721,75.9,11.73716442,18.96,2,3,4,2,2,2,10.7302255,68,0,0,8.645938147,69,2,7,6,6,0,10.46644062,0,6,9,76.9,3,6,717,687,6940,5694,0.430107527,0.319652218,0.02169275,0.428571429
459941,2,21.85,4,15,10,4,10.87806606,0,0,1,25.02,0,10.02207027,90.1,11.87757552,12.95,0,1,3,0,1,18,9.900332581,74,1,1,8.883085524,82,0,0,3,3,0,10.55745202,2,3,8,76.1,0,14,677,642,4506,4840,0.509433962,0.1875,0.027533704,0.322580645
460046,2,13.58,5,23,1,3,12.01370681,0,1,2,2.01,0,6.329720906,7.4,12.57763965,13.78,0,0,2,0,2,22,10.65565807,94,1,2,6.311734809,82,4,0,0,0,0,11.3439386,1,5,16,99.4,7,11,757,677,1219,5785,0.060606061,0.034482759,0.023052,0.857142857
460083,1,11.99,6,25,5,4,10.73641841,1,1,6,37.33,0,10.04767447,69.8,11.17044924,25.88,2,2,3,2,4,5,10.15046481,81,0,1,9.023167064,75,0,6,0,2,0,10.62122978,0,1,9,85,3,9,677,657,6393,5785,0.173913043,0.112676056,0.03321,0.461538462
460084,1,10.9,6,26,0.5,5,10.85901823,1,1,2,19.94,0,10.47866731,80.2,11.51293546,27.4,1,0,1,0,0,96,8.467162258,93,0,2,9.753013439,82,0,6,0,3,0,11.04961936,0,0,24,82.3,3,31,747,637,11142,3959,0.096153846,0.05,0.032692,0.44
460105,1,15.05,5,21,10,4,10.54536775,1,0,2,41.3,0,9.430840432,31.6,10.8101521,38.57,1,0,2,1,3,9,10.52907833,82,1,4,8.774467601,59,4,0,1,1,0,10.30815234,0,1,13,38.9,1,12,732,687,4141,4963,0.178289474,0.136813409,0.034690775,0.684210526
460140,2,16.01,5,20,3,4,11.88449592,1,0,2,18.55,0,9.569831347,10.8,12.18075997,14.46,1,3,4,2,3,4,10.96978324,78,3,3,8.851377098,35,2,0,2,6,0,10.93917779,0,6,12,13.4,0,20,767,722,5602,5298,0.197586207,0.146923077,0.02432356,0.581395349
460150,2,11.98,6,25,5,4,10.64544871,2,1,2,7.37,0,7.210079628,6.8,11.33858398,10.24,2,2,1,1,1,6,9.119977932,93,1,3,6.966024187,35,0,0,3,1,0,9.235032985,0,0,4,33.6,1,8,742,667,3259,5237,0.392857143,0.196428571,0.022234545,0.615384615
460163,1,16.01,5,20,9,3,10.23282727,1,0,1,50.17,0,9.264449698,66.4,11.26190956,39.35,1,0,2,1,2,10,9.47262771,46,0,2,8.532475815,54,2,0,1,0,0,9.911802884,1,0,12,94.2,2,19,707,582,3745,4263,0.258992806,0.092544987,0.0351625,0.666666667
460177,1,9.43,6,29,3,4,11.22525673,0,0,2,34.24,0,10.05882324,40.9,11.48247657,31.03,0,0,3,0,3,15,11.13469121,78,2,5,9.262648152,64,0,9,0,6,0,10.81281409,0,4,9,61.3,3,7,732,672,4355,4355,0.306666667,0.237113402,0.032000435,0.413793103
460266,1,6.07,7,33,7,4,11.51393496,2,0,3,30.05,1,9.963170555,67.4,12.23125782,17.17,2,3,3,0,1,16,11.43224672,27,1,2,9.115150185,61,0,0,3,4,1,10.53329549,1,4,10,60.4,2,10,702,697,2557,6332,0.06993007,0.034129693,0.030454286,0.5625
460271,1,9.43,6,29,10,4,11.15626481,2,0,1,17.41,0,9.57921065,86.6,11.71994776,16.76,2,0,1,0,2,17,9.471781133,55,0,1,9.13884437,68,2,1,1,3,0,10.52554144,1,3,13,79.4,1,15,682,682,3990,4080,0.371428571,0.211382114,0.032000385,0.352941176
460277,1,22.9,3,14,1,4,10.01229711,1,1,2,106.03,1,10.11318106,74.1,11.29351245,34.1,1,0,4,1,4,7,10.76024057,74,0,1,8.689127655,74,2,4,1,6,1,10.43675937,0,6,21,59.8,3,17,677,672,3379,9834,0.085209436,0.02366186,0.038657895,0.620689655
460392,1,16.02,5,20,5,4,10.71443999,1,0,8,47.76,0,9.062652099,31.9,11.3504183,35.14,1,2,7,0,2,19,11.10199042,73,7,11,7.368339686,63,4,0,6,2,0,9.560997244,2,2,21,25.9,6,42,687,677,7277,10533,0.222222222,0.117647059,0.035167,0.416666667
460415,1,7.34,7,31,10,3,10.91510665,0,0,0,25.46,0,8.630878956,11.6,11.73607702,17.93,0,0,2,0,1,24,10.45143554,32,1,3,6.380122537,18,0,0,0,1,0,9.952896573,2,2,19,77.9,2,21,787,617,12359,5359,0.152727273,0.0672,0.031033333,0.448275862
460425,2,7.35,7,31,1,4,10.77897712,0,0,3,13.23,1,6.853299093,2.7,11.49273296,15.51,0,3,1,0,0,30,8.573573525,25,2,2,6.73459166,11,5,1,4,2,1,9.446755465,1,2,26,14.3,4,28,757,747,6271,4840,0.333333333,0.163265306,0.019966875,0.55
460452,2,12.61,5,24,3,4,10.81979828,0,1,1,34.09,0,10.00319713,20.6,12.07254697,16.99,0,3,4,0,1,13,10.79339324,79,4,9,9.080117785,49,2,3,1,1,0,10.63823243,2,1,18,21.8,2,26,712,672,2315,4110,0.2,0.057142857,0.022554,0.88
460525,1,7.35,7,31,0.5,5,10.59665973,0,0,8,3.66,0,7.019296654,5.1,11.97035664,15.07,0,0,0,0,0,52,0,71.16996114,0,0,6.182084907,5,0,0,0,0,0,10.19582129,1,4,14,75.7,2,20,752,617,11142,7277,0.0375,0.009493671,0.03104,0.5
460536,2,11.99,6,25,5,4,13.36922502,2,0,2,5.31,0,11.11524994,67.7,13.43863436,5.26,2,0,4,2,3,9,11.30951101,76,1,3,8.461891876,74,4,4,9,1,0,9.511703431,0,0,9,73.6,3,6,702,692,4720,4720,0.024375,0.022740525,0.022239744,0.588235294
460563,2,9.93,6,28,0.5,5,10.08585078,2,1,8,0,0,0,0,10.93312483,24,2,0,0,0,0,124,0,71.16996114,1,1,0,0,0,0,0,0,0,10.0373189,0,0,11,36.9,3,15,757,687,9011,3776,0.520833333,0.223214286,0.0212128,0.416666667
460583,1,13.58,5,23,0.5,4,10.59665973,2,0,4,16.9,0,9.071767722,27.7,11.50288523,11.26,2,5,1,0,0,35,9.211239967,59,6,7,8.054204897,39,0,0,3,2,0,9.91492193,3,2,16,40,2,14,697,692,4720,4355,0.175,0.070707071,0.033974286,0.588235294
460591,1,6.71,7,32,0.5,5,10.49130199,2,0,8,2.8,0,7.311886164,2.9,11.11246282,15.62,2,0,0,1,3,12,0,71.16996114,2,3,6.98471632,3,1,0,3,3,0,8.669055541,0,0,6,77.2,1,6,772,627,17412,1888,0.333333333,0.179104478,0.030745,0.259259259
460630,2,19.42,4,17,0.5,3,10.08585078,1,0,2,49.1,0,9.270964994,39.8,11.33739281,15.18,1,1,1,1,1,3,10.82780598,71.16996114,1,3,8.233768709,40,0,1,4,0,0,9.363662137,0,0,7,11.5,2,42,672,612,1492,3990,0.483333333,0.138259833,0.026172414,0.846153846
460685,1,17.47,4,19,6,4,11.30362318,0,0,1,22.34,0,10.16804173,37.7,11.47835472,22.38,0,2,4,0,2,19,10.20618138,53,3,8,8.831419819,44,0,0,0,1,0,10.73059728,0,0,15,42.1,0,19,717,657,5390,3471,0.12328328,0.103518597,0.035888,0.708333333
460719,2,15.04,5,21,1,4,9.903537551,2,1,2,69.75,0,0,0,11.03490579,29.4,2,1,3,2,2,3,11.06008569,62,0,1,0,59,0,0,1,0,0,10.1369774,0,1,15,38.6,2,17,747,687,1402,1461,0.75,0.241935484,0.023811333,0.8
460726,1,11.98,6,25,5,4,11.28979441,0,0,2,15.62,0,9.840068405,85.7,11.77529742,24.05,0,0,2,0,0,45,8.749098248,18,0,1,9.387314322,44,0,3,1,2,0,10.8646178,1,2,10,85.8,3,15,742,707,5997,8067,0.1,0.061538462,0.033205,0.5
460747,1,10.9,6,26,1,4,10.32183598,2,0,2,57.31,0,8.708639656,35.6,11.53696421,20.62,2,5,2,2,3,2,11.37734626,94,3,5,7.699842407,74,0,2,1,1,0,9.607370001,0,1,8,40.5,3,5,712,717,6485,2132,0.329077267,0.097625742,0.032692,0.615384615
460814,2,18.45,4,18,10,5,10.64544871,2,1,2,29.17,0,9.881599753,42.9,11.3621142,25.07,2,2,2,1,1,6,9.514953305,59,2,2,8.772920093,48,0,5,2,5,0,10.80051391,1,5,25,49.5,2,24,682,672,6485,3379,0.595238095,0.290697674,0.0256392,0.571428571
460825,2,13.58,5,23,10,3,11.4616427,0,1,1,17.41,0,8.786914938,36.8,11.8817335,23.43,0,1,2,0,0,40,10.43702334,23,4,6,7.589841512,29,1,8,1,1,0,9.64225265,1,1,9,31.5,3,20,697,632,4932,5602,0.294736842,0.193637621,0.023051429,0.464285714
460907,1,15.04,5,21,2,3,10.72987546,1,0,2,27.57,0,8.76795191,107.1,11.27341114,16.39,1,0,2,0,0,28,9.667575328,43,0,0,8.76795191,52,0,4,1,0,0,8.840435439,0,0,3,96.6,2,1,752,647,5936,2772,0.328227571,0.190597205,0.034685333,0.444444444
460985,2,26.77,3,10,2,4,10.02131503,2,0,2,12.96,0,8.880307359,81.7,11.32056569,6.34,2,0,13,0,1,18,10.95955762,100,0,0,8.294799359,98,0,0,0,2,0,9.336356093,1,3,6,99,1,4,687,642,2498,2557,0.533333333,0.145454545,0.030398333,0.818181818
461053,1,19.03,4,17,0.5,5,10.30898599,2,1,1,22.84,0,8.952087644,69.6,11.56172515,16.43,2,0,2,0,1,17,9.329011902,64,0,1,8.366137716,66,0,0,0,0,0,8.977398978,1,1,14,24.8,12,6,687,627,1798,4748,0.666666667,0.19047619,0.0366715,0.777777778
461138,2,12.61,5,24,1,4,10.81979828,0,0,3,43.9,0,9.592059086,27.6,12.2356363,19.01,0,2,2,2,5,6,11.02023441,49,1,3,8.699681401,31,2,0,5,2,0,10.63782466,5,2,18,23.4,4,17,767,732,6424,6424,0.773,0.187621359,0.022553946,0.583333333
461145,1,21.85,4,15,10,3,10.41018467,1,1,2,47.71,0,9.675080172,43.7,10.96640358,30.03,1,1,1,0,2,14,9.51797212,67,1,5,8.368229038,52,2,3,2,0,0,10.44903339,0,0,2,52.5,0,11,667,627,6637,8128,0.692875433,0.397270921,0.038113043,0.5625
461171,2,16.02,5,20,6,4,10.45714275,1,0,2,18.55,0,9.586651263,60.2,11.18607281,25.57,1,1,1,1,1,11,8.712924435,85,1,2,8.52158354,66,0,1,1,6,0,11.03645296,0,5,11,73.4,1,16,712,697,7581,7581,0.472823431,0.228098394,0.024328875,0.523809524
461190,2,30.79,1,4,0.5,5,9.472781557,0,1,2,38.23,0,9.843631385,57.6,11.41862577,33.07,0,0,0,0,0,175,0,71.16996114,0,0,9.756378687,58,0,0,0,0,0,11.25263804,0,3,7,81.3,2,14,732,577,8007,5329,2.307692308,0.32967033,0.032840333,0.5
461208,1,12.61,5,24,0.5,4,11.00211651,2,1,6,23.52,0,7.711101252,23.5,11.73607702,12.03,2,0,1,1,1,8,8.670085938,90,1,1,0,50,0,1,1,2,0,10.44205479,1,0,8,14.1,4,5,697,572,11173,1949,0.133333333,0.064,0.0335075,0.392857143
461227,2,10.42,6,27,10,4,10.81979828,1,0,2,23.31,0,10.22611438,51.5,11.77529742,18.13,2,0,1,0,1,21,9.569691731,72,0,0,9.692643057,57,1,1,0,4,0,11.06706015,0,5,17,52.3,2,25,732,692,7732,7732,0.8,0.307692308,0.0214545,0.5
461261,2,9.43,6,29,5,4,9.392745259,0,0,5,75.4,0,10.0333309,33.6,11.34214901,10.73,0,1,2,0,1,24,10.5070382,74,2,4,9.062420242,51,1,4,2,9,0,10.65128862,0,9,9,41.3,0,8,787,737,6089,6089,2.916666667,0.415183867,0.020967714,0.448275862
461364,1,14.07,5,22,10,4,10.08585078,2,0,5,75.25,1,8.862341964,64.2,11.23850178,27.52,2,0,1,1,1,10,10.4405071,71.16996114,1,2,8.537191878,64,3,2,2,0,1,9.306740866,0,0,5,15,2,4,667,652,3014,2619,0.375,0.118421053,0.034212222,0.545454545
461387,2,18.45,4,18,10,4,10.37352243,2,0,2,21.94,1,9.450065683,36.6,11.09742517,18.89,2,2,1,1,1,9,9.664595644,92,2,6,8.173011312,55,0,0,5,1,1,9.5742888,0,1,17,26.9,2,21,702,697,4871,4871,0.375,0.181818182,0.025639167,0.6
461428,1,7.35,7,31,7,5,9.615872145,2,0,2,57.68,0,9.553575404,23.3,11.22525673,12.43,2,1,1,0,1,13,9.249657234,43,1,1,8.840869624,29,2,0,3,3,0,9.055789612,0,1,5,8.3,0,4,767,707,4414,1492,1.2,0.24,0.031037778,0.588235294
461445,1,12.61,5,24,3,4,10.54536775,1,0,8,49.41,1,8.93115543,39.2,11.63515195,16.88,1,2,3,2,5,3,10.57920878,81,2,4,7.428333194,69,2,11,1,4,1,10.64502005,0,5,4,84.5,2,5,672,647,4810,4049,0.473684211,0.159292035,0.033506667,0.44
461469,1,12.62,5,24,0.5,4,11.25157369,0,1,6,12.25,0,9.654449104,57.3,11.94471437,9.02,0,1,0,1,1,9,8.558527055,24,1,6,9.168997408,42,1,6,2,3,0,9.803169856,0,5,6,74.2,1,22,692,682,4598,4141,0.332467532,0.166233766,0.033511328,0.163636364
461474,2,9.43,6,29,10,4,11.01864554,0,0,3,15.36,0,8.556221578,9.3,11.68688718,13.25,0,2,2,0,1,15,9.303375238,33,2,5,6.335054251,18,0,0,0,2,0,9.666308462,1,1,15,80.8,1,19,777,597,2468,3959,0.196721311,0.100840336,0.020968333,0.636363636
461515,1,16.01,5,20,0.5,4,10.59665973,0,0,1,7.92,0,9.055789612,85.7,11.5327379,9.95,0,0,1,0,0,35,10.50588912,71.16996114,1,2,8.912607964,86,1,0,2,0,0,9.719444515,0,4,12,64.5,2,11,697,677,5420,5694,0.2,0.078431373,0.0351625,0.8
461557,2,16.01,5,20,10,4,11.57120381,0,0,3,19.65,0,9.442166124,54.8,12.29225493,11.66,0,0,4,3,8,7,11.16540846,86,0,2,8.38685669,80,2,3,5,2,0,10.03552408,0,2,4,97.3,0,4,712,632,4901,1492,0.330188679,0.160550459,0.024323429,0.342857143
461558,1,6.71,7,32,0.5,4,11.00211651,0,0,1,6.96,0,9.417029285,36,11.60824474,14.69,0,0,0,0,0,78,0,71.16996114,0,2,9.016027202,36,0,0,0,2,0,10.52800787,1,0,20,33.6,1,27,707,667,7305,1979,0.333333333,0.181818182,0.030745,0.625
461563,1,6.08,7,33,5,4,10.96821553,0,0,3,9.79,0,10.77115511,15.7,11.71178452,12.7,0,0,0,0,0,39,0,71.16996114,1,1,2.197224577,16,0,10,1,1,0,9.690418087,0,4,9,29.1,1,16,732,722,11020,7823,0.689655172,0.327868852,0.03045825,0.5
461640,1,18.45,4,18,0.5,3,10.63587948,2,1,2,33.12,1,9.432523462,53.6,11.29104362,28.34,2,0,1,0,1,20,9.593355351,50,2,3,9.209640127,52,1,0,0,0,1,10.28963392,1,0,16,87,1,16,692,637,3259,4779,0.240384615,0.124843945,0.036379,0.769230769
461705,2,14.07,5,22,0.5,4,11.00211651,0,0,2,36.96,0,8.592300664,18,11.69525536,27.96,0,2,3,2,2,5,11.2422185,97,1,3,8.324093761,57,1,2,3,3,0,11.01980877,0,3,13,39,2,19,697,692,9254,12145,0.416666667,0.208333333,0.0233048,0.407407407
461744,2,11.98,6,25,5,4,10.63587948,2,0,8,29.4,0,9.663452134,65.3,11.70024286,16.5,2,1,5,0,1,22,10.100944,64,0,0,8.938400406,64,5,0,2,2,0,9.990719738,2,2,9,42.3,2,11,712,657,5755,4080,0.841346154,0.290215589,0.022234571,0.523809524
461756,1,14.08,5,22,6,4,11.81303746,2,0,2,25.83,0,10.19151956,66.4,12.19096408,20.08,2,2,7,4,6,2,11.46485854,73,0,4,9.256842206,71,4,6,3,3,0,10.83997299,1,3,17,69.4,8,11,682,657,9773,5541,0.222222222,0.152284264,0.034216667,0.625
461761,1,17.09,4,19,3,4,10.81979828,1,0,2,25.73,0,9.46962297,40.2,11.66135409,16.61,1,1,2,1,2,5,10.66499407,88,0,0,9.056023012,69,2,5,3,2,0,10.25005155,0,2,13,38.3,2,13,682,707,6028,4932,0.8,0.344827586,0.03569775,0.5
461865,1,14.07,5,22,10,4,11.44777876,0,0,2,35.99,1,10.01202801,76.6,11.71597243,31.22,0,2,4,2,3,12,11.51871865,20,3,3,8.842748916,45,2,1,7,6,1,10.14006052,0,6,14,72.8,4,15,687,672,6759,5085,0.176375784,0.134884746,0.0342118,0.4
461950,1,10.9,6,26,10,3,10.34177474,0,0,8,33.72,0,9.277531622,34.3,11.4616427,29.25,0,2,2,4,5,8,10.28428421,88,3,4,8.820847033,62,3,0,5,0,0,10.79607968,0,6,14,46.4,3,16,697,657,4383,6881,0.35483871,0.115789474,0.032691818,0.5
461974,1,11.98,6,25,10,4,11.22525673,2,0,8,25.98,0,7.164720379,12.7,11.75979336,17.97,2,1,4,2,4,9,11.54475354,60,1,1,6.64898455,54,4,0,3,2,0,7.817625443,2,2,11,20.7,4,10,662,647,6667,5632,0.036,0.02109375,0.033207407,0.302325581
461993,2,20.39,4,16,0.5,4,10.59665973,0,0,8,21.6,0,9.367942232,62.9,11.60824474,17.84,0,1,1,0,1,17,9.622913492,75,6,7,8.981807323,69,0,1,6,1,0,9.86021464,4,1,20,51.7,3,16,662,637,6881,8189,0.6,0.218181818,0.026711667,0.458333333
462007,2,7.34,7,31,0.5,4,11.08215793,0,1,2,17.75,0,9.262078567,59.2,11.77529742,21.02,0,0,1,0,0,33,7.331060305,8,0,2,8.905172985,33,2,0,0,3,0,10.63093954,0,0,22,40.6,2,24,727,717,11323,4567,0.307692308,0.153846154,0.0199625,0.466666667
462200,2,18.45,4,18,2,3,10.91510665,0,1,2,20.05,0,10.29816131,69.2,12.0435596,15.38,0,0,0,0,0,99,0,71.16996114,1,1,8.828201089,72,0,0,0,2,0,10.64091474,0,5,8,91.1,2,11,697,557,12025,9954,0.290909091,0.094117647,0.025639375,0.344827586
462221,1,18.45,4,18,1,4,10.30898599,0,0,1,62.16,0,7.625107148,14.5,11.60824474,20.43,0,2,4,3,3,4,10.67908991,79,1,1,6.883462586,66,8,0,13,2,0,9.994241916,6,2,23,39.5,4,28,667,592,2010,2407,0.666666667,0.181818182,0.036379,0.722222222
462245,2,13.59,5,23,2,4,11.38510346,0,0,2,8.18,0,9.111514018,39.4,11.89742567,17.65,0,0,1,0,0,64,8.357493813,15,0,0,9.111514018,27,0,2,1,2,0,10.49938016,2,1,18,37.7,6,22,792,777,11295,11295,0.227272727,0.136159088,0.0230565,0.538461538
462319,2,18.45,4,18,10,3,11.26447693,0,0,1,35.67,0,10.70481627,78.7,11.63515195,26.55,0,2,2,0,0,25,10.16304018,38,3,7,8.661466681,71,0,0,3,0,0,10.90608441,2,0,13,80.1,2,12,667,667,6912,2619,0.448717949,0.309734513,0.025639143,0.682926829
462347,2,15.04,5,21,10,4,11.40757606,2,1,2,1.51,0,7.956476798,46.8,11.98293534,8.22,2,0,0,0,0,67,0,71.16996114,0,0,7.956476798,47,0,0,0,2,0,10.26374607,0,0,6,92.4,2,18,757,647,5571,5390,0.388888889,0.21875,0.023811143,0.307692308
462360,2,30.17,2,7,0.5,3,10.77897712,2,0,2,25.35,0,9.635608107,66.2,11.56742312,21.22,2,3,1,1,1,6,10.20968466,96,1,1,8.911799556,83,3,1,5,2,0,10.1674659,1,1,14,87.3,2,17,687,577,4110,4383,0.333333333,0.151515152,0.032458125,0.705882353
462411,1,19.03,4,17,0.5,5,10.81979828,2,0,3,35.42,0,8.630878956,36.1,11.60824474,22.65,2,2,3,0,2,18,10.97090153,142,2,4,7.393263095,73,7,1,6,4,0,9.417435839,3,4,11,63.7,4,11,682,602,3868,3959,0.24,0.109090909,0.036671667,0.590909091
462434,2,19.42,4,17,10,3,9.159152335,0,0,2,131.1,1,8.508757713,64.4,12.83334975,9.68,0,1,2,2,3,5,10.77943534,95,1,2,7.783224016,91,2,0,2,0,1,10.04129106,1,1,15,69.8,4,14,667,642,9103,7185,2.210526316,0.056074766,0.026172381,0.636363636
462436,2,13.59,5,23,4,4,10.81979828,2,1,2,21.38,0,8.626406276,39.8,11.69525536,27.37,2,0,2,0,1,16,10.69321683,89,0,2,7.876258882,82,4,2,9,3,0,10.44255072,2,3,9,38.9,3,4,707,642,3806,3929,0.38,0.158333333,0.023056316,0.583333333
462450,1,7.96,7,30,10,4,10.81979828,2,0,3,11.76,0,9.53502917,33,12.18075997,9.39,2,1,0,0,0,37,0,71.16996114,3,4,6.909753282,33,2,0,3,2,0,10.33792877,1,0,9,50.2,2,9,722,622,11688,3624,0.24,0.061538462,0.031318333,0.466666667
462518,1,12.62,5,24,5,3,10.85901823,2,0,2,25.94,0,9.244548543,98.5,11.5327379,13.67,2,0,8,0,1,22,11.46747821,86,0,0,9.244548543,89,4,0,1,0,0,10.26255962,0,0,3,96.7,1,3,712,702,5571,2710,0.088461538,0.045098039,0.033513043,0.714285714
462546,2,28.72,2,9,4,4,11.3504183,0,1,2,41.61,0,8.736649955,63.5,11.6439625,32.77,0,1,4,3,4,2,12.00000128,89,0,3,7.759187439,84,3,0,4,0,0,9.740203625,0,0,6,54.2,3,5,667,612,2863,4202,0.247058824,0.184210526,0.031571905,0.538461538
462554,2,14.07,5,22,10,4,11.08215793,0,0,2,29.38,0,9.524128692,34.3,11.9576177,19.34,0,2,3,2,2,11,10.98266215,76,2,5,9.052516287,46,3,1,7,3,0,10.31870495,0,4,11,35.3,4,10,692,687,6424,4202,0.461538462,0.192307692,0.023304667,0.576923077
462562,2,11.98,6,25,10,4,11.60824474,0,0,2,9.06,0,9.710570057,25.7,12.36734505,17.17,0,4,1,0,2,22,10.21398242,71.16996114,5,8,9.7055243,26,0,13,5,7,0,10.56555678,1,7,18,31.6,5,22,712,712,9681,9681,0.205909091,0.096382979,0.022234437,0.333333333
462576,1,6.08,7,33,10,3,11.22525673,2,0,3,2.08,0,8.441175705,5.8,11.8706069,9.86,2,2,0,0,0,42,0,71.16996114,1,1,7.443078374,6,0,0,3,1,0,10.49615119,0,0,5,99.1,1,5,772,677,5755,3349,0.4,0.20979021,0.030458333,0.647058824
462581,1,9.93,6,28,8,4,11.25157369,1,0,2,9.88,0,10.35898015,15.5,11.29974462,15.31,0,2,1,0,0,58,12.56782617,71.16996114,3,4,8.38935982,16,1,2,3,1,0,9.524420918,2,0,21,72.8,18,3,752,662,6209,2894,0.062337662,0.059405941,0.032235417,0.379310345
462583,2,9.92,6,28,9,4,10.81979828,0,0,2,33.17,0,9.486000469,33.9,11.81303746,18.54,0,0,5,1,1,9,10.0384991,45,0,0,8.782629655,40,1,0,1,1,0,10.61638834,0,1,7,39.8,2,8,762,737,4355,3959,0.448,0.165925926,0.021208036,0.485714286
462586,1,16.01,5,20,1,3,11.19822842,2,0,1,29.74,1,9.214531577,76.6,11.70355409,18.8,2,0,3,2,3,10,11.01124126,86,1,2,8.271548375,85,2,0,6,2,1,9.922701771,1,3,4,20.3,1,13,672,637,11203,7732,0.150684932,0.090909091,0.035162727,0.555555556
462593,1,7.34,7,31,0.5,4,9.680406499,1,1,2,81.2,0,9.169310022,19.2,11.3621142,15.1,2,2,1,1,2,3,10.75987965,71.16996114,1,2,8.8164085,19,3,1,4,4,0,9.169310022,2,4,4,38.6,1,4,732,712,4840,4840,0.4375,0.081395349,0.031032857,0.5
462653,2,15.05,5,21,0.5,4,6.908754779,0,1,1,999,0,10.29481993,49.5,11.98576881,16.93,0,3,2,0,2,20,9.490922298,67,5,5,9.353747835,54,1,8,0,3,0,11.01710339,1,3,18,44.9,3,17,692,657,4720,4720,17,0.105949369,0.023816471,0.555555556
