,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,pub_rec,revol_bal,revol_util,annual_inc_joint,dti_joint,verification_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mort_acc,pub_rec_bankruptcies,revol_bal_joint,inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,fico_avg_score,sec_cibil_score,credit_hist,sec_credit_hist,balance_annual_inc,sec_balance_annual_inc,inst_amnt_ratio,credit_line_ratio
619921,1,7.07,7,33,5,4,10.66897865,1,0,2,13.62,0,7.751475318,8.1,11.84223641,12.22,2,1,5,1,1,5,10.06202858,82,0,2,6.131226489,45,0,4,2,2,0,10.18074043,0,2,10,27.4,4,9,792,757,4686,4625,0.930232558,0.287769784,0.03090925,0.6875
619930,2,19.03,4,17,7,4,9.210440367,0,1,2,61.34,1,9.364691032,86.4,11.17432897,20.42,0,1,6,0,0,135,9.48691094,80,1,2,8.475537516,83,0,0,2,0,1,9.93484086,0,4,6,91.5,1,7,662,642,7305,8127,2,0.28059936,0.0259575,0.666666667
619942,1,12.62,5,24,0.5,4,11.6526961,1,0,1,36.12,0,10.94096884,77.5,12.34583894,22.09,2,2,4,2,3,4,11.58928447,93,0,2,9.802174391,82,3,0,1,2,0,11.32872615,2,2,15,63.5,3,16,672,692,6270,6270,0.27826087,0.139130435,0.03351125,0.633333333
620045,2,15.05,5,21,8,4,11.38510346,1,0,3,22.31,0,9.865941436,45.5,11.9576177,12.58,1,0,2,0,2,20,10.76616651,78,0,0,7.782807263,65,0,6,0,4,0,10.69577846,1,4,4,67.6,1,4,747,767,8248,7883,0.454545455,0.256410256,0.02381625,0.409090909
620153,2,15.05,5,21,0.5,4,10.16589028,1,1,1,56.24,0,9.0205107,34.2,10.96821553,33.24,1,2,3,1,2,11,11.33978563,45,3,3,8.253748343,39,0,1,0,0,0,9.819942887,0,0,16,26.6,2,20,717,722,4717,5356,0.692307692,0.310344828,0.023816667,0.47826087
620175,2,9.44,6,29,0.5,5,10.08585078,2,1,2,51.2,0,10.10446729,30.4,11.76174456,15.5,2,1,1,0,0,50,8.849944227,27,1,2,8.122074375,29,0,5,0,0,0,10.45256226,0,1,8,45.2,3,5,747,692,5509,6513,0.863541667,0.161598441,0.020972738,0.647058824
620233,2,24.85,3,12,0.5,3,9.903537551,0,1,2,67.77,0,8.936429704,26.3,11.26447693,17.78,0,3,1,1,1,4,10.24976867,71.16996114,1,5,7.7164608,26,3,0,6,0,0,8.965590067,0,0,1,75,0,2,712,572,5144,3195,0.6,0.153846154,0.029264167,0.52
620242,2,16.02,5,20,0.5,4,10.16972891,2,1,2,24.6,0,8.546363569,57.8,11.3632763,27.95,2,1,3,1,1,3,9.145908512,79,0,0,7.365812837,70,3,0,1,5,0,10.65206944,1,3,14,72.6,3,22,697,697,5295,5295,0.61302682,0.18583043,0.02432875,0.269230769
620353,1,10.91,6,26,4,4,10.49130199,2,0,2,35.57,0,9.674703121,61.9,11.41862577,25.26,2,0,2,1,1,11,10.00174792,75,1,2,9.456887901,69,0,0,1,5,0,10.49024591,0,6,7,70.3,2,11,682,647,7852,6848,0.416666667,0.164835165,0.032696667,0.260869565
620422,1,13.59,5,23,0.5,4,10.81979828,1,0,2,55.95,0,10.71548387,68.6,11.60824474,33.29,1,2,6,0,3,15,10.69226304,61,4,7,8.547528391,64,2,0,2,3,0,10.53214954,0,3,41,61.9,19,28,692,682,4352,4109,0.4,0.181818182,0.033979,0.6
620482,2,30.89,1,2,8,4,10.51870022,2,1,2,18.75,0,8.518991573,77,11.10088881,10.47,2,0,1,1,1,12,9.748644967,88,1,3,7.190676034,85,2,0,6,2,0,8.518991573,0,2,4,98.3,1,2,667,577,6209,6209,0.324324324,0.181189509,0.0329025,0.888888889
620634,1,11.99,6,25,3,4,10.37352243,0,1,1,46.77,0,10.25008691,98.2,11.4510607,20.11,0,0,2,0,0,39,8.939843124,22,0,0,9.373479109,57,0,1,0,2,0,10.30905266,0,0,7,89.8,2,5,697,662,3926,2679,0.9375,0.319148936,0.033209667,0.473684211
620870,2,30.89,1,2,0.5,4,10.29691382,1,1,2,42.11,0,9.642317575,61.9,11.1098924,19.18,1,4,1,0,1,23,10.28990575,71.16996114,4,4,7.830425618,62,0,6,4,3,0,9.692272572,2,2,9,86.9,1,18,662,652,11961,11961,0.506072874,0.224456815,0.032902667,0.44
621106,1,12.62,5,24,4,4,10.46313191,1,1,1,33.44,0,8.734238184,51.8,11.22525673,17.02,1,1,2,3,3,8,10.45129099,92,4,4,7.705712824,82,1,4,6,1,0,9.080801001,1,0,5,83,2,4,667,612,5114,6513,0.228571429,0.106666667,0.03351125,0.6
621221,1,21.45,4,15,4,3,10.46313191,2,1,2,43.45,0,9.121071904,53.5,11.4616427,27.55,2,3,14,3,8,1,11.17427285,103,2,7,8.128880142,94,5,0,4,0,0,9.595670798,5,0,22,51.1,7,19,667,657,3926,3714,0.228571429,0.084210526,0.0379075,0.787878788
621248,1,7.97,7,30,0.5,4,11.18443529,0,0,2,23.97,0,9.569272766,66.6,11.72804491,13.92,0,0,3,0,0,28,9.55796448,26,0,3,8.542470999,38,1,0,0,4,0,9.668587666,0,0,2,84.7,0,6,737,722,6817,9222,0.208333333,0.120967742,0.031322667,0.416666667
621281,2,30.65,2,6,0.5,3,9.952325335,0,1,0,77.09,0,8.117908942,21.1,11.3504183,20.46,0,0,3,1,3,9,10.28946398,70,1,3,7.431891917,57,2,0,1,0,0,9.619531862,1,0,9,54.1,3,6,667,642,4199,884,0.571428571,0.141176471,0.032754167,0.615384615
621333,2,24.85,3,12,0.5,3,0,0,0,6,32.26145366,0,0,0,11.08215793,9.64,0,1,8,1,3,3,11.36966692,72,1,1,0,67,0,2,0,0,0,8.843903651,0,0,5,72.9,2,5,702,697,4444,5994,0,0.353846154,0.029263478,0.409090909
621350,2,19.03,4,17,10,4,11.00211651,2,1,2,34.8,0,10.40526234,80,12.20106513,19.62,2,3,3,2,2,5,11.68105512,95,2,3,9.127284797,87,2,0,7,4,0,11.03793341,1,4,15,71.7,6,9,667,607,8005,8005,0.583333333,0.175879397,0.025957143,0.470588235
621381,1,11.99,6,25,2,3,11.28979441,0,0,2,31.67,0,9.840334738,47.4,11.71178452,28.47,0,1,12,0,3,20,11.66150063,85,2,4,8.875985891,77,2,1,3,0,0,10.30725121,0,1,7,44.7,3,15,697,667,4321,5966,0.3125,0.204918033,0.0332096,0.512195122
621399,1,7.97,7,30,0.5,3,9.830970622,1,1,7,24,0,6.00635316,20.3,11.57684817,13.95,1,0,1,0,0,34,6.862757913,12,0,0,5.598421959,13,0,0,0,0,0,9.363662137,0,0,5,83.1,1,15,682,597,6970,5083,0.349462366,0.06097561,0.031323077,0.25
621410,1,19.03,4,17,0.5,3,10.34177474,1,1,6,34.88,1,9.744960644,68.5,11.32660793,23.94,1,1,2,2,3,10,8.343077871,67,4,7,8.586905804,68,0,0,0,3,1,10.30310225,5,3,13,73.9,3,17,672,657,8582,8582,0.090322581,0.03373494,0.036671429,0.395348837
621422,2,20,4,16,10,4,10.2399955,0,0,2,60.05,0,8.363109176,85.7,12.03172521,16.35,0,1,2,1,1,1,10.84306503,94,0,0,8.112827479,92,1,0,4,4,0,9.293485953,0,4,8,101.2,3,9,667,587,5052,5052,0.464285714,0.077380952,0.026494615,0.375
621432,1,14.08,5,22,0.5,4,10.77897712,2,0,2,28.3,1,8.828640617,68.3,11.60824474,14.6,2,0,3,1,3,9,10.96152087,91,0,1,8.399535148,88,1,3,3,1,1,9.432363296,1,1,9,74.1,2,8,667,622,5601,4625,0.3125,0.136363636,0.034216667,0.6
621438,1,24.85,3,12,5,5,10.46313191,2,0,2,48.79,0,9.413689296,33.8,11.15626481,27.47,2,3,4,0,2,14,11.76617136,59,4,10,7.601402335,45,2,1,5,2,0,9.767094928,0,0,6,76.9,0,8,672,632,5448,6452,0.428571429,0.214285714,0.039680667,0.352941176
621505,2,30.75,2,5,10,3,11.15626481,2,0,2,10.9,1,9.421168398,74.8,11.60824474,8.02,2,0,1,0,1,23,9.008958312,68,1,2,9.240481529,72,0,0,0,0,1,9.717579572,0,0,5,99.8,1,5,682,637,7427,6452,0.4,0.254545455,0.032815714,0.555555556
621521,1,18.06,4,18,2,3,10.20362918,0,0,10,40.53,0,8.248529125,44.4,11.42955473,14.58,0,0,4,0,0,26,11.26719115,67,1,2,6.93439721,63,1,0,2,0,0,9.203215047,1,0,14,74.1,7,9,697,647,3500,3225,0.185185185,0.054347826,0.036184,0.36
621528,1,12.62,5,24,0.5,4,10.49684202,1,1,2,58.12,0,9.03503415,97.6,11.83356589,17.14,1,0,10,0,2,15,11.12381587,73,2,2,8.699514748,75,2,4,4,2,0,9.514215624,0,2,18,78.5,6,21,682,662,3987,8036,0.801104972,0.210449927,0.033511379,0.576923077
621530,1,10.42,6,27,0.5,4,10.81979828,1,0,1,24.39,0,6.710523109,4.6,11.28979441,27.01,1,1,1,1,1,7,11.1901135,71.16996114,2,2,6.584791392,5,3,0,1,3,0,9.147400572,1,0,17,30.8,8,10,752,652,3500,2891,0.24,0.15,0.032465,0.444444444
621532,2,26.3,3,10,4,4,10.69271734,1,0,2,23.93,0,9.596826513,66.3,11.2673957,22.95,0,2,1,0,0,32,9.416297072,66,3,9,8.835064935,66,1,0,3,2,0,10.21837128,2,2,12,74.9,2,9,662,682,5721,5052,0.746031386,0.419926369,0.030118417,0.583333333
