zip_2,term,int_rate,sub_grade,home_ownership,annual_inc,verification_status,dti,revol_util,mort_acc,credit_line_ratio,bal_annual_inc,cibil_score,inst_anmt_ratio
89,1.223506876,13.34011425,22.99090101,3.622494356,11.04899792,1.093247588,18.26788192,52.21150989,1.708353287,0.503896845,0.214119737,694.1519464,0.031475154
90,1.19756587,13.06820232,23.4172483,3.348543012,11.10921936,1.104911883,16.88869176,53.78643038,0.952189845,0.531323868,0.205925648,696.5309065,0.031618262
91,1.222064876,13.20787051,23.18737,3.459485772,11.12917837,1.121387795,17.23026818,53.28183785,1.242864097,0.524370494,0.207395567,695.8689428,0.031418868
92,1.234906032,13.12299566,23.30534893,3.498725194,11.16030444,1.107372848,17.19358838,53.28864555,1.465948219,0.508550259,0.202716711,695.8815219,0.031241281
93,1.242897347,13.1935004,23.21656392,3.594143661,11.09484363,1.105065666,17.61524122,53.20347025,1.652841061,0.504921059,0.210098131,695.2451085,0.031188341
94,1.194202562,12.64550718,24.00727582,3.379232942,11.27626443,1.112891366,15.2073064,54.74204652,1.079763149,0.523248825,0.193905292,699.1180193,0.031444673
95,1.230489685,13.09072939,23.37343073,3.542324352,11.15008852,1.106710227,16.46811981,53.48722047,1.513508553,0.511118445,0.205546528,695.6998201,0.031273206
96,1.244894895,13.61568769,22.64159159,3.502702703,11.04585851,1.115765766,18.86762913,58.0676036,1.185885886,0.486020038,0.230427519,694.5233483,0.031389564
97,1.237318255,12.95115024,23.58279483,3.589903069,10.99792697,1.051292407,17.54766236,55.27475767,1.683117932,0.491077531,0.219122201,696.361147,0.031129821
98,1.245869434,13.23306266,23.15283095,3.588605682,11.13070505,1.074602055,17.71037377,57.34666835,1.825659883,0.495114255,0.213448616,695.5614044,0.031185802
99,1.246312967,13.35068186,23.02432484,3.724190768,11.07146604,1.100363915,18.89921854,59.45732618,1.749090213,0.484961476,0.229281346,695.9849646,0.031242471
